,acteur_1,acteur_2,acteur_3,allocine_id,annee_prod,annee_sortie,box_office_fr,couleur,duree,langues,nationalite,nb_critiques_presse,nb_critiques_spectateurs,nb_notes_spectateurs,note_presse,note_spectateurs,realisateurs,synopsis,titre,type_film,genre
3839,Kabwita Kasongo,Lydie Kasongo,,255697,2017,2017.0,,Couleur,96.0,Français,Français,20.0,50.0,320.0,4.1,3.9,Emmanuel Gras,"Au Congo , un jeune villageois espère offrir un avenir meilleur à sa famille . Il a comme ressources ses bras , la brousse environnante et une volonté tenace . Parti sur des routes dangereuses et épuisantes pour vendre le fruit de son travail , il découvrira la valeur de son effort et le prix de ses rêves .",Makala,Long-métrage,documentaire
2688,Muriel Robin,Matt Pokora,Francis Renaud,274762,2019,2019.0,,Couleur,90.0,Français,Français,6.0,24.0,128.0,3.2,3.8,Christophe Lamotte,"Depuis des années , Axel a coupé les ponts avec sa famille , dévastée par un drame dont on lui a fait porter la responsabilité . Quand le cargo sur lequel il est cuisinier fait escale dans sa ville natale , il décide d’ aller voir sa mère , Françoise . C' est un choc : elle ne le reconnaît plus . Atteinte de la maladie d’ Alzheimer , Françoise oublie désormais des pans entiers de sa vie . Axel est le premier de la fratrie à disparaître de sa mémoire . Pourquoi lui ? Que se cache-t-il derrière cet oubli ? Et alors qu’ Ivan et Lucie ont accepté de la faire admettre en centre , Axel s’ y oppose frontalement et retarde son départ pour s’ occuper d’ elle , malgré les tensions . Entre la mère et le fils s' ouvre alors le face-à-face si longtemps redouté et pourtant nécessaire . Contraints l' un et l' autre à un voyage dans la mémoire familiale avant que tout ne s' efface , trouveront - ils les clés pour enterrer les fantômes du passé ?",Le Premier oublié,Long-métrage,drame
72,Nawazuddin Siddiqui,Sanya Malhotra,Farrukh Jaffar,257183,2019,2020.0,,Couleur,110.0,Hindi,"Indien , allemand , américain",18.0,34.0,801.0,3.3,2.6,Ritesh Batra,"Raphi , modeste photographe , fait la rencontre d’ une muse improbable , Miloni , jeune femme issue de la classe moyenne de Bombay . Quand la grand-mère du garçon débarque , en pressant son petit-fils de se marier , Miloni accepte de se faire passer pour la petite amie de Rafi . Peu à peu , ce qui n’ était jusque-là qu’ un jeu se confond avec la réalité …",Le Photographe,Long-métrage,romance
1054,Morgan Freeman,Matt Damon,Tony Kgoroge,129694,2009,2010.0,3154627.0,Couleur,132.0,Anglais,Américain,25.0,2238.0,33099.0,4.1,4.1,Clint Eastwood,"En 1994 , l' élection de Nelson Mandela consacre la fin de l' Apartheid , mais l' Afrique du Sud reste une nation profondément divisée sur le plan racial et économique . Pour unifier le pays et donner à chaque citoyen un motif de fierté , Mandela mise sur le sport , et fait cause commune avec le capitaine de la modeste équipe de rugby sud-africaine . Leur pari : se présenter au Championnat du Monde 1995 ...",Invictus,Long-métrage,historique
3647,Jack Nicholson,Robin Wright,Aaron Eckhart,29167,2001,2001.0,475246.0,Couleur,124.0,Anglais,Américain,19.0,216.0,2669.0,3.9,3.4,Sean Penn,"Le jour de sa retraite , l' inspecteur Jerry Black s' attarde dans son bureau pour la dernière fois avant de faire bonne figure à la fête "" surprise "" organisée en son honneur . Touché par la générosité de ses collègues , il accepte volontiers leur cadeau , un billet d' avion pour réaliser son rêve : aller pêcher au Mexique . Au même moment , le corps d' une fillette de huit ans est découvert à moitié enseveli sous la neige , dans les montagnes du Nevada . Un meurtre gratuit en apparence . Bien que ses collègues de travail le poussent à mettre fin à sa carrière au sein de la police , Jerry est décidé à mener son enquête . Comment laisser un tel crime impuni ? Il promet solennellement à la mère de la jeune victime de retrouver le meurtrier .",The Pledge,Long-métrage,policier
3292,Adriano Tardiolo,Alba Rohrwacher,Agnese Graziani,258000,2018,2018.0,,Couleur,127.0,Italien,"Italien , français , suisse , allemand",27.0,50.0,528.0,3.4,3.7,Alice Rohrwacher,"Lazzaro , un jeune paysan d’ une bonté exceptionnelle vit à l’ Inviolata , un hameau resté à l’ écart du monde sur lequel règne la marquise Alfonsina de Luna . La vie des paysans est inchangée depuis toujours , ils sont exploités , et à leur tour , ils abusent de la bonté de Lazzaro . Un été , il se lie d’ amitié avec Tancredi , le fils de la marquise . Une amitié si précieuse qu’ elle lui fera traverser le temps et mènera Lazzaro au monde moderne .",Heureux comme Lazzaro,,drame
4968,Jennifer Garner,Kylie Rogers,Martin Henderson,237933,2016,2017.0,,Couleur,109.0,Anglais,Américain,,18.0,230.0,,3.7,Patricia Riggen,"La famille Beam traverse une période difficile . Leur fille Anna , âgée de 10 ans , est atteinte d’ une maladie incurable . Ses parents explorent tous les moyens possibles pour la sauver . Un jour , Anna subit un grave accident dont elle sort non seulement indemne mais guérie miraculeusement ...",Miracles du Ciel,Long-métrage,drame
3049,Sigourney Weaver,Charles Dance,Charles S. Dutton,7651,1992,1992.0,,Couleur,115.0,Anglais,Américain,,780.0,22183.0,,3.7,David Fincher,"Seule survivante d' un carnage sur une planète lointaine , Ripley s' échoue sur Fiorina 161 , planète oubliée de l' univers , balayée par des vents puissants . Une communauté d' une vingtaine d' hommes y vit . Violeurs , assassins , infanticides , ce sont les plus dangereux détenus de droits communs de l' univers . L' arrivée de Ripley va les confronter à un danger qui sera plus fort qu' eux .",Alien³,Long-métrage,horreur
3359,Booder,Issa Doumbia,Steve Tran,188871,2010,2011.0,412351.0,Couleur,99.0,Français,Français,17.0,310.0,1641.0,1.8,1.6,Djamel Bensalah,"A 25 ans , Khalid Belkacem avait tout raté : son BEPC , son code de la route , son BAFA , et même son BCG . Il ne s' attendait pas à devenir le premier "" discriminé positif "" de la police . Mais comme dit sa mère , "" C' est ça , la France ! Elle donne sa chance à tout le monde ! """,Beur sur la ville,Long-métrage,policier
1285,Anthony Hopkins,John Hurt,Anne Bancroft,180,1980,1981.0,,,125.0,Anglais,Américain,5.0,648.0,24099.0,4.8,4.3,David Lynch,"Londres , 1884 . Le chirurgien Frederick Treves découvre un homme complètement défiguré et difforme , devenu une attraction de foire . John Merrick , "" le monstre "" , doit son nom de Elephant Man au terrible accident que subit sa mère . Alors enceinte de quelques mois , elle est renversée par un éléphant . Impressionné par de telles difformités , le Dr. Treves achète Merrick , l' arrachant ainsi à la violence de son propriétaire , et à l' humiliation quotidienne d' être mis en spectacle . Le chirurgien pense alors que "" le monstre "" est un idiot congénital . Il découvre rapidement en Merrick un homme meurtri , intelligent et doté d' une grande sensibilité .",Elephant Man,,biopic
543,Hayden Christensen,Ewan McGregor,Natalie Portman,40623,2005,2005.0,7230417.0,Couleur,140.0,Anglais,Américain,23.0,2158.0,70678.0,3.9,4.2,George Lucas,"La Guerre des Clones fait rage . Une franche hostilité oppose désormais le Chancelier Palpatine au Conseil Jedi . Anakin Skywalker , jeune Chevalier Jedi pris entre deux feux , hésite sur la conduite à tenir . Séduit par la promesse d' un pouvoir sans précédent , tenté par le côté obscur de la Force , il prête allégeance au maléfique Darth Sidious et devient Dark Vador . Les Seigneurs Sith s' unissent alors pour préparer leur revanche , qui commence par l' extermination des Jedi . Seuls rescapés du massacre , Yoda et Obi Wan se lancent à la poursuite des Sith . La traque se conclut par un spectaculaire combat au sabre entre Anakin et Obi Wan , qui décidera du sort de la galaxie .",Star Wars : Episode III - La Revanche des Sith,Long-métrage,science fiction
5285,Glenn Ford,Shirley Jones,Ron Howard,42135,1963,1963.0,,Couleur,118.0,,Américain,,3.0,19.0,,3.5,Vincente Minnelli,"Eddie pense qu' il est grand temps que son père se remarie , son choix se porte sur la voisine d' à côté ...",Il faut marier papa,Long-métrage,romance
5412,Chiken Kawaguchi,Shinko Kondo,Ryugyo Kurashima,273722,2019,2019.0,,Couleur,63.0,Japonais,Japonais,13.0,2.0,14.0,3.4,2.5,Katsuya Tomita,"Chiken et Ryûgyô sont deux bonzes de l' école bouddhiste Sôtô . Ils se sont connus pendant leur apprentissage spirituel . Chiken , qui vit avec sa femme et son fils à Yamanashi , s’ investit dans la prévention du suicide et dispense les préceptes d' une alimentation végétale et zen . A Fukushima , Ryûgyô , seul , fait face aux ravages du tsunami . Son temple détruit , il travaille au déblaiement de la région et accompagne les victimes relogées en préfabriqués .",Tenzo,Long-métrage,documentaire
4429,Jet Li,Donnie Yen,Tony Leung Chiu-Wai,47263,2002,2003.0,715191.0,Couleur,120.0,Mandarin,"Chinois , hong-kongais",10.0,340.0,5433.0,3.4,3.5,Yimou Zhang,"Il y a deux mille ans , la Chine était divisée en sept royaumes . Chacun d' eux combattait les autres pour obtenir la suprématie , tandis que le peuple endurait la souffrance et la mort . De ces sept royaumes , Qin était le plus virulent . Le roi de Qin était obsédé par la conquête de la Chine et le désir de devenir son premier Empereur . Les autres royaumes dépêchèrent leurs plus redoutables assassins pour l' éliminer . Le seul nom de trois de ces tueurs suffisait à répandre la terreur : Lame Brisée , Flocon de Neige et Ciel Etoilé . A quiconque anéantirait ces trois assassins , le roi de Qin promit puissance et fortune . Pendant dix ans , personne n' y parvint . Lorsque le mystérieux Sans Nom se présenta au palais , avec en sa possession les armes des assassins abattus , le roi fut impatient d' entendre son histoire . Assis à dix pas du monarque , Sans Nom commença alors à la raconter ...",Hero,,historique
5520,Denzel Washington,John Travolta,Luis Guzmán,131013,2009,2009.0,808077.0,Couleur,105.0,Anglais,"Américain , britannique , brésilien , mexicain",19.0,737.0,6062.0,2.3,2.6,Tony Scott,"Walter Garber est aiguilleur du métro à New York . Comme chaque jour , il veille au bon déroulement du trafic , lorsque la rame Pelham 123 s' immobilise sans explication . C' est le début du cauchemar . Ryder , un criminel aussi intelligent qu' audacieux , a pris en otage la rame et ses passagers . Avec ses trois complices lourdement armés , il menace d' exécuter les voyageurs si une énorme rançon ne lui est pas versée très vite . Entre les deux hommes commence un incroyable bras de fer . Chacun a des atouts , chacun a des secrets , et le face-à-face risque de faire autant de victimes que de dégâts . La course contre la montre est lancée ...",L' Attaque du métro 123,,policier
175,Krystyna Janda,Kasia Smutniak,Vincent Riotta,270169,2019,2020.0,,Couleur,96.0,,"Polonais , américain",8.0,5.0,34.0,2.5,2.8,Jacek Borcuch,"Maria Linde , poétesse et prix Nobel juive polonaise , s’ est retirée loin des mondanités et des conventions dans la paisible campagne de Toscane . Elle y vit libre et heureuse , entourée de sa famille , de ses amis et de son jeune amant égyptien . Mais la tension monte dans la vieille Europe comme dans sa petite ville où les réfugiés affluent . Refusant l' hypocrisie ambiante , Maria accepte une ultime remise de prix , et revient dans l' espace public avec une déclaration qui fait scandale .",Un soir en Toscane,,drame
2309,Emmanuelle Devos,Grégory Montel,Gustave Kervern,269023,2019,2020.0,252871.0,Couleur,101.0,Français,Français,27.0,147.0,1824.0,3.3,3.3,Grégory Magne,"Anne Walberg est une célébrité dans le monde du parfum . Elle crée des fragrances et vend son incroyable talent à des sociétés en tout genre . Elle vit en diva , égoïste , au tempérament bien trempé . Guillaume est son nouveau chauffeur et le seul qui n’ a pas peur de lui tenir tête . Sans doute la raison pour laquelle elle ne le renvoie pas .",Les Parfums,Long-métrage,comédie
5027,acteurs inconnus,,,56795,2003,2004.0,218332.0,Couleur,105.0,Français,Français,13.0,42.0,656.0,4.5,3.7,Raymond Depardon,"De mai à juillet 2003 , Raymond Depardon et son équipe ont obtenu l' autorisation exceptionnelle de filmer le déroulement des audiences de la 10ème Chambre Correctionnelle de Paris . Dix ans après Délits flagrants , le cinéaste poursuit sa démarche en nous proposant ce nouveau documentaire citoyen , témoignage inédit sur le fonctionnement de la machine judiciaire . De la simple convocation pour conduite en état d' ivresse aux déférés de la nuit , 10e chambre nous plonge dans le quotidien d' un tribunal : douze affaires , douze histoires d' hommes et de femmes qui se sont , un jour , retrouvés face à la justice .",10e chambre – Instants d' audience,Long-métrage,documentaire
26,Elie Semoun,Mathys Gros,Émilie Caen,270878,2019,2020.0,1497326.0,Couleur,90.0,Français,Français,6.0,167.0,4329.0,2.3,1.4,Elie Semoun,"Nouvelle rentrée des classes pour l' élève Ducobu , Léonie Gratin et l' instituteur Latouche . Mais cette année , un rival de taille pour Ducobu débarque à l’ école : "" TGV "" , le roi de la triche 2.0 . Alors que la situation financière de Saint - Potache devient désastreuse , les deux cancres vont devoir unir leurs créativités pour remporter un concours de chant et sauver leur école .",Ducobu 3,Long-métrage,comédie
1434,Bruno Bénabar,Franck Dubosc,Jocelyn Quivrin,133038,2008,2009.0,1237541.0,Couleur,94.0,Français,Français,17.0,924.0,6076.0,2.9,3.1,Eric Lavaine,"Lucas est devenu une superstar en s' étant approprié les chansons d' un ami qu' il croyait disparu . Soudainement , cet ami réapparait . Lucas , pour lui cacher sa fortune et sa célébrité , commet l' erreur de demander à Francis , un comédien raté , de prendre sa place .",Incognito,Long-métrage,comédie
5154,Jessica Biel,Jonathan Tucker,Erica Leerhsen,46524,2003,2004.0,241320.0,,98.0,Anglais,Américain,15.0,493.0,8757.0,3.0,2.9,Marcus Nispel,"En 1973 , lors d' une perquisition à la ferme de Thomas Hewitt , ancien employé de l' abattoir de Travis County , au Texas , la police découvrait les restes de 33 êtres humains . Cette effroyable trouvaille mit en émoi la population locale . Arborant les grotesques masques de chair de ses victimes et brandissant une tronçonneuse , le tueur fut macabrement surnommé Leatherface . Les autorités locales abattirent un homme portant un masque de cuir , mettant ainsi fin à l' affaire , mais au cours des années suivantes , plusieurs personnes accusèrent la police d' avoir bâclé l' enquête et d' avoir tué un innocent en toute connaissance de cause . Pour la première fois , la seule victime ayant survécu au massacre brise le silence et raconte ce qui est vraiment arrivé cette nuit - là , sur une route déserte du Texas , à cinq personnes qui sans le savoir , roulaient vers leur pire cauchemar ...",Massacre à la tronçonneuse,,horreur
3118,Selena Gomez,Katie Cassidy,Leighton Meester,130015,2011,2011.0,,Couleur,109.0,Anglais,"Américain , hongrois",2.0,55.0,995.0,1.5,3.0,Thomas Bezucha,"Lorsque Grace décide de partir en voyage en France avec ses deux meilleures amies Emma et Meg , elle est loin d’ imaginer l’ incroyable aventure qui les attend . Parce qu’ elle ressemble comme une sœur jumelle à la richissime héritière Cordelia Winthrop Scott et qu’ Emma la convainc d’ en profiter , les trois jeunes filles se retrouvent à Monte-Carlo à mener la grande vie , entre gala de charité , hôtel de luxe et séduisants prétendants . Pourtant , le rêve risque de virer au cauchemar . La supercherie est sur le point d’ être démasquée , par la redoutable Tante Alicia qui a des doutes et par Cordelia qui va arriver bientôt . Tout se complique encore quand le petit ami d’ Emma débarque et que les sentiments s’ en mêlent ! Grace et ses amies n’ oublieront jamais ce qu’ elles vont vivre et découvrir , sur le monde et sur elles-mêmes …",Bienvenue à Monte-Carlo,Long-métrage,romance
371,Robert De Niro,Sharon Stone,Joe Pesci,14178,1995,1996.0,1659411.0,Couleur,178.0,Anglais,"Américain , français",5.0,807.0,27042.0,4.4,4.3,Martin Scorsese,"En 1973 , Sam Ace Rothstein est le grand manitou de la ville de toutes les folies , Las Vegas . Il achète et épouse une virtuose de l’ arnaque , Ginger Mc Kenna , qui sombre bien vite dans l’ alcool et la drogue . Mais un autre ennui guette Sam , son ami d’ enfance Nicky Santoro , qui entreprend de mettre la ville en coupe réglée …",Casino,Long-métrage,drame
1393,Angelina Jolie,John Malkovich,Michael Kelly,126884,2008,2008.0,1448650.0,Couleur,141.0,Anglais,Américain,27.0,1590.0,20802.0,4.1,4.2,Clint Eastwood,"Los Angeles , 1928 . Un matin , Christine dit au revoir à son fils Walter et part au travail . Quand elle rentre à la maison , celui-ci a disparu . Une recherche effrénée s' ensuit et , quelques mois plus tard , un garçon de neuf ans affirmant être Walter lui est restitué . Christine le ramène chez elle mais au fond d' elle , elle sait qu' il n' est pas son fils ...",L' Echange,,biopic
1903,Dominique Pinon,Karin Viard,Ticky Holgado,6649,1991,1991.0,,Couleur,97.0,Français,Français,,260.0,11136.0,,3.8,"Jean-Pierre Jeunet, Marc Caro","La vie des étranges habitants d' un immeuble de banlieue qui se dresse dans un immense terrain vague et qui tous vont se fournir chez le boucher - charcutier , à l' enseigne "" Delicatessen "" .",Delicatessen,Long-métrage,horreur
2640,Jean-Michel Tinivelli,Leslie Medina,Alban Casterman,274348,2019,2019.0,,Couleur,90.0,Français,Français,,9.0,38.0,,3.6,Francois Velle,"Au lieu-dit de Teahupoo , sur l’ île de Tahiti , il n’ y a pas que des surfeurs attirés par "" la vague la plus dangereuse du monde "" . Il y a aussi un meurtrier au mode opératoire qui s' inspire de rites insulaires mythologiques . Suite à la découverte du corps mutilé d' un homme sur le temple sacré d' Oro , sont dépêchés sur place la Lieutenant de police Mareva Umaga , jeune tahitienne qui tente par tous les moyens de cacher son pédigrée familial et le Commandant Philippe Toussaint , un homme un peu cabossé par la vie , fraîchement muté à Tahiti . Sauront - ils se faire assez confiance pour arrêter à temps celui qui a décidé de réveiller la colère d’ Oro ?",Meurtres à Tahiti,Télefilm,policier
4478,Elena Anaya,,,228541,2015,2016.0,993297.0,Couleur,97.0,Français,"Français , allemand",25.0,186.0,1242.0,3.7,3.8,"Jacques Perrin, Jacques Cluzaud","Après avoir parcouru le globe à tire d’ ailes avec les oiseaux migrateurs et surfé dans tous les océans en compagnie des baleines et des raies mantas , Jacques Perrin et Jacques Cluzaud reviennent pour ce nouvel opus sur des terres plus familières . Ils nous convient à un formidable voyage à travers le temps pour redécouvrir ces territoires européens que nous partageons avec les animaux sauvages depuis la dernière ère glaciaire jusqu’ à nos jours . L’ hiver durait depuis 80 000 ans lorsque , en un temps très bref , une forêt immense recouvre tout le continent . Une nouvelle configuration planétaire et tout est bouleversé . Le cycle des saisons se met en place , le paysage se métamorphose , la faune et la flore évoluent . L’ histoire commence … À un interminable âge de glace succède une forêt profonde et riche puis , sous l’ impulsion d’ hommes nouveaux , une campagne riante . Les Saisons est une épopée sensible et inédite qui relate la longue et tumultueuse histoire commune qui lie l’ homme aux animaux .",Les Saisons,Long-métrage,documentaire
39,Qian Youfa,Wang Fengjuan,Sun Zhangjian,273659,2019,2020.0,,Couleur,150.0,Mandarin,Chinois,17.0,67.0,643.0,4.2,3.8,Gu Xiaogang,"Le destin d’ une famille s’ écoule au rythme de la nature , du cycle des saisons et de la vie d’ un fleuve .",Séjour dans les monts Fuchun,,romance
5468,Jane Fonda,Lee Marvin,Michael Callan,1405,1965,1965.0,,Couleur,97.0,Anglais,Américain,,15.0,56.0,,2.4,Elliot Silverstein,"Dans les aventures de Catherine Ballou ( Jane Fonda ) , un couple de ménestrels baladeurs ( Stubby Kaye et Nat King Cole ) racontent comment un groupe d' hommes d' affaires de Wolf City engagent un tueur sans merci , Strawn ( Lee Marvin ) , pour abattre son père , le propriétaire de ranch . La douce et féminine Catherine est forcée de se transformer en Cat , la tigresse vengeresse .",Cat Ballou,Long-métrage,romance
987,Mylène Jampanoï,Morjana Alaoui,Catherine Bégin,127913,2008,2008.0,94024.0,Couleur,99.0,Français,"Français , canadien",25.0,1232.0,6621.0,2.6,3.0,Pascal Laugier,"France , début des années 70.Lucie , une petite fille de dix ans , disparue quelques mois plus tôt , est retrouvée errant sur la route . Son corps maltraité ne porte aucune trace d' agression sexuelle . Les raisons de son enlèvement restent mystérieuses . Traumatisée , mutique , elle est placée dans un hôpital où elle se lie d' amitié avec Anna , une fille de son âge.15 ans plus tard . On sonne à la porte d' une famille ordinaire . Le père ouvre et se retrouve face à Lucie , armée d' un fusil de chasse . Persuadée d' avoir retrouvé ses bourreaux , elle tire .",Martyrs,Long-métrage,horreur
